limit,rate,term,ecl,revenue,profit
20000.0,0.15,36.0,9.362510914623815,9000.0,8990.637489085377
20000.0,0.15,36.0,943.4425274027546,9000.0,8056.557472597246
20000.0,0.15,36.0,45.371882110844616,9000.0,8954.628117889155
20000.0,0.15,36.0,835.8134756671722,9000.0,8164.1865243328275
20000.0,0.15,36.0,1466.952144232931,9000.0,7533.0478557670685
20000.0,0.15,36.0,1244.5860192890766,9000.0,7755.413980710923
20000.0,0.15,36.0,65.15990185507236,9000.0,8934.840098144927
20000.0,0.15,36.0,276.01710554924233,9000.0,8723.982894450757
20000.0,0.15,36.0,27.961441423055344,9000.0,8972.038558576945
20000.0,0.15,36.0,1801.3083204629565,9000.0,7198.6916795370435
20000.0,0.15,36.0,143.29360770173028,9000.0,8856.706392298269
20000.0,0.15,36.0,1241.0804467939015,9000.0,7758.9195532060985
20000.0,0.15,36.0,114.3143200791322,9000.0,8885.685679920867
20000.0,0.15,36.0,105.46109290267707,9000.0,8894.538907097323
20000.0,0.15,36.0,263.82900545625535,9000.0,8736.170994543745
20000.0,0.15,36.0,135.62077422439216,9000.0,8864.379225775609
20000.0,0.15,36.0,10.066973447329515,9000.0,8989.93302655267
20000.0,0.15,36.0,905.9413181267348,9000.0,8094.058681873265
,,,,,
20000.0,0.15,36.0,76.4797007417245,9000.0,8923.520299258276
20000.0,0.15,36.0,53.58592104282082,9000.0,8946.41407895718
20000.0,0.15,36.0,80.04407519063741,9000.0,8919.955924809363
20000.0,0.15,36.0,166.45879768128032,9000.0,8833.54120231872
20000.0,0.15,36.0,10.899066543825038,9000.0,8989.100933456175
20000.0,0.15,36.0,6.099784391646423,9000.0,8993.900215608353
20000.0,0.15,36.0,88.863054870339,9000.0,8911.136945129661
20000.0,0.15,36.0,8.41298625548903,9000.0,8991.58701374451
20000.0,0.15,36.0,24.233641959797136,9000.0,8975.766358040202
20000.0,0.15,36.0,63.87145215319736,9000.0,8936.128547846803
,,,,,
20000.0,0.15,36.0,100.13151400802164,9000.0,8899.868485991978
