age,credit_amount,treatment,default,pd_baseline
51,17706,0,0,0.08275322338436047
27,9956,0,0,0.08573313995506678
40,1393,1,0,0.13364704652725015
44,19054,1,0,0.0990137943525051
55,18195,0,0,0.14029306357825638
55,7913,0,0,0.1755326244939989
60,3178,1,0,0.10216391058022221
48,10786,1,0,0.046112104041642024
62,16132,0,0,0.08582109217025245
57,9355,0,0,0.15909430615192735
29,910,1,0,0.044791072323003944
52,9415,1,0,0.11830450364218394
24,10539,0,0,0.12964427478306412
54,18395,1,0,0.0576572829043916
30,16248,1,0,0.05617444280149568
34,14045,1,0,0.07579891124154517
46,8390,1,0,0.05027566358096725
37,18941,0,0,0.030711723866295903
49,5015,0,0,0.09433361750994808
43,6925,1,0,0.10715229221279646
48,17001,1,0,0.07721271112627166
46,19880,0,0,0.04916384786215776
30,16386,0,0,0.13062210069805463
51,14299,0,0,0.02042644283797917
63,18785,0,0,0.11037779840041854
45,3060,1,0,0.07314777025996548
47,13547,0,0,0.029422717601890944
52,8552,1,1,0.11793775942110105
24,12162,0,0,0.0783661693071223
27,5349,0,0,0.2333349332248167
45,10033,1,0,0.07691692646929728
38,5091,1,0,0.20444497957280033
51,13047,0,0,0.05087097306504308
61,18626,1,0,0.018507036081436924
55,1646,1,0,0.2120223734491455
30,19219,1,0,0.009214211336679837
34,13356,0,0,0.038590102772212864
27,776,0,0,0.10065545898514221
25,11793,1,0,0.07314966981833576
53,3191,0,0,0.06560604947552179
51,16151,1,0,0.20791736569502675
29,5917,0,0,0.14356995200743095
52,1620,1,0,0.051206681474916395
41,17030,0,0,0.017883311297538413
59,10964,0,0,0.055077824012929905
52,12416,1,0,0.0521662421616171
32,16716,0,0,0.11879737020075186
42,11525,0,0,0.21823263425115363
31,16028,0,0,0.026091603223727545
60,12166,0,0,0.07261206926826627
43,1042,0,0,0.13048502971878947
59,19036,1,0,0.04743148653447642
43,19209,0,0,0.1372665970241047
43,5877,0,0,0.11538123591898387
29,13184,1,0,0.11478604789931635
63,2904,1,0,0.0637885725785468
50,6055,0,0,0.0512359795691762
33,12352,1,0,0.053907821261076745
57,7283,1,0,0.11264506349496425
31,19392,1,0,0.009531166768482998
25,2029,1,1,0.2872799905767733
50,14345,0,0,0.008766411955514095
53,12449,0,0,0.016965861341472883
46,17896,0,0,0.04171374216632532
52,16276,0,0,0.059477190546486716
32,17975,1,0,0.07450942575865063
33,15979,0,1,0.08333039801819482
37,4775,1,0,0.08611509757125843
30,8781,0,0,0.04459165025060579
31,13869,1,0,0.2195744325154937
23,19980,0,0,0.07381033758814548
31,17313,1,0,0.08950809231666662
45,13168,0,0,0.028179007548339928
37,2476,0,0,0.06623340138553734
39,8706,0,0,0.1902948729418662
61,13203,1,0,0.13915545922547437
21,15549,0,1,0.17502539033973086
57,5804,0,0,0.08020246779719849
22,9613,0,0,0.0909521139236882
43,16522,0,0,0.17741616310898434
26,16759,1,0,0.06709291591344585
42,4852,0,0,0.12653308785036593
60,5447,1,0,0.10939762240568099
22,7781,1,0,0.0830805845404158
43,13054,1,0,0.14514800211868567
41,13696,1,0,0.024873189003648172
40,15304,1,0,0.10929165235232241
48,11338,1,0,0.16003698912616013
35,18396,1,0,0.0864532732368924
55,2839,1,0,0.11373659553531937
31,10731,0,0,0.08680558840127862
36,4893,1,0,0.06477673294832972
41,11010,0,0,0.023143816696115423
61,17773,1,0,0.03329023201630945
44,17762,0,0,0.14589846229526418
57,19781,1,1,0.3620297702592456
27,10049,0,0,0.04200541101807181
24,14032,0,0,0.0306354671891221
43,9798,0,1,0.14798358374616932
60,690,1,0,0.07390950854359678
31,6025,1,0,0.08210150127779856
30,14996,1,0,0.04250793639926897
27,1551,1,0,0.06127335048724912
61,13035,0,1,0.1710362656567488
25,9441,0,0,0.004494192352471097
48,8530,0,0,0.06887840365360157
37,14843,0,0,0.04268206701063742
39,4946,0,0,0.09445153190380477
52,5550,1,0,0.0315089168172478
40,3731,0,0,0.02797580921483113
22,2614,0,0,0.05875970052790845
45,2128,1,0,0.05942379752787196
22,2526,0,0,0.06303765632272926
58,12965,1,0,0.0484481305169676
62,6348,0,0,0.15714745004871133
57,7076,1,0,0.22100498782688344
39,15183,0,0,0.14104187762598736
39,10601,1,0,0.1355709800062291
46,2006,1,0,0.0316021515566524
58,10741,1,0,0.14283985192715304
54,13391,1,0,0.05554892075167871
41,12342,1,0,0.14913130366719804
56,17431,0,0,0.08942609484944915
39,12093,1,0,0.08856518172035764
54,16343,0,0,0.03396087978812602
31,10621,0,0,0.15952693604935728
40,12913,1,0,0.09338756024187142
57,3524,0,0,0.007205521229602831
31,19850,1,0,0.026959815673767637
48,1027,0,0,0.07163556694929239
33,19380,0,0,0.07140924729776824
39,11735,1,0,0.1009746294246113
35,7080,1,0,0.026080421233536193
50,8752,0,0,0.13568704541527127
54,1993,0,0,0.10049328875551115
58,8497,1,0,0.07858389339510595
36,1885,0,0,0.08929724206665711
29,8886,1,0,0.014222837474751254
61,3159,0,0,0.06200118238993673
38,2714,1,0,0.11397376768416098
49,14393,0,0,0.09733844255741736
37,3995,0,0,0.056116476962437906
57,7035,1,0,0.05319771655241051
24,13412,1,0,0.06753673968348374
22,10341,0,1,0.062060848522108296
35,10518,1,0,0.019239338419011695
39,9116,0,0,0.06839229870385062
54,12388,1,0,0.11196378023443136
41,13228,0,0,0.05408126089678161
32,3022,1,0,0.02641418199185142
24,19280,0,0,0.01815094561734973
56,16375,0,0,0.07501305311974883
43,8770,0,0,0.04949350161265962
63,7766,1,0,0.08566749760415432
35,14653,1,0,0.04015198909958435
30,12454,0,0,0.019091089110670128
32,16156,0,0,0.025204615185999153
39,9580,0,1,0.13956828364481796
27,9103,0,0,0.05262570095829883
26,9632,0,0,0.11614873168738968
55,6264,0,0,0.02298418321395855
51,15682,0,0,0.061292531309246466
43,16027,1,0,0.060263980231500175
42,2651,0,0,0.01260320228882627
42,2321,0,0,0.05329723966694425
46,1958,0,0,0.02417548670664072
33,6921,1,0,0.16081592085918806
55,2470,0,0,0.1368258940924822
21,11608,0,0,0.22392630623411755
55,19908,0,0,0.037490046462505366
55,14244,0,0,0.018571418341660623
43,18579,1,0,0.14816411210110955
33,3397,1,0,0.08501318845237649
59,14160,1,0,0.08622458310904017
57,14706,0,0,0.17826749068841571
62,9227,1,0,0.1411949067619375
21,15039,1,0,0.0800604032038491
48,2158,1,0,0.06827799592487559
21,12502,1,0,0.028809134786076933
22,16507,1,0,0.025977883332058152
23,8166,0,0,0.038353859053156206
55,4194,0,0,0.09658963474328162
52,699,1,0,0.09441725064024943
60,5820,1,0,0.061151777426209454
48,16514,1,0,0.007252978542705995
45,16895,0,1,0.1204646900702518
28,12529,1,0,0.09439555608735288
51,5518,0,0,0.08087763803562689
61,5568,0,0,0.013242069240266602
36,16969,1,0,0.03204689458237398
51,11880,1,0,0.22455982335015895
43,15825,0,0,0.09786741433528356
43,7722,0,0,0.2468095883854646
56,16827,0,0,0.09288730804095276
33,9679,0,0,0.11717899726887354
59,13648,1,0,0.10904056667770858
64,17099,1,0,0.19500368585547267
26,7366,1,0,0.09961749148439554
43,15863,1,0,0.08240433551002713
21,13236,0,0,0.20967274344454784
35,10196,1,0,0.10160992015914161
37,16667,1,0,0.038302656455644644
50,9077,1,0,0.01055491414462938
38,15113,1,0,0.17274187820090284
36,1989,0,0,0.07659965393386328
55,17309,1,0,0.07589470356375076
54,19308,0,0,0.06384319825605711
21,19678,0,0,0.05181545266648416
35,16962,1,0,0.10404385084823732
54,13957,1,0,0.04368626659835293
25,14953,0,0,0.06260518630888516
44,18598,1,0,0.12894072905928636
42,14738,1,0,0.0455597349771659
51,5799,1,0,0.15383949020221216
50,3612,0,0,0.20148686250377246
43,19482,0,1,0.3760305724023425
39,3212,0,0,0.04924099596584605
55,18251,1,0,0.08829153001319882
37,18750,1,0,0.034482758791421486
40,1304,0,0,0.06059725871768918
39,16242,0,0,0.046465346647325524
36,12013,1,0,0.18338039658363686
48,8096,1,0,0.07912863676687817
49,10307,1,0,0.1154084084856351
60,8855,0,0,0.023395258247256488
40,16404,1,0,0.04306096234606224
54,8525,0,0,0.07153114072272512
34,2963,0,0,0.09930450548032611
63,8238,1,0,0.08011040527818596
61,10788,0,0,0.06514771565689159
47,9282,0,0,0.03775210559175027
52,10274,1,0,0.10964439235531262
46,19747,1,0,0.1838153528782652
29,8213,1,0,0.08790904298637771
62,16450,1,0,0.07244707658052188
53,19847,1,0,0.06207451261456499
39,16695,1,0,0.12282526901792204
32,11021,0,0,0.13430908315896703
50,19794,0,0,0.102042924554859
39,8558,0,0,0.09081336768691055
57,5947,1,0,0.012865796038421038
30,17199,0,0,0.04896517220270338
43,18417,1,0,0.05658976445294813
25,3211,1,0,0.033616955142297324
