duration,event,age,credit_amount,rate
8,0,52,2723,0.13385725059044531
47,0,45,4341,0.1964403103949091
40,1,55,11013,0.12188832889022526
28,0,27,10002,0.06178341875992102
27,0,62,7540,0.07218792951376546
51,0,51,902,0.08343787314120985
7,2,50,8257,0.2162555374353995
42,0,57,9926,0.1941665378030309
14,0,62,19729,0.20277320274456162
8,0,56,7857,0.23186602593870065
33,2,42,10534,0.11052101793378669
58,0,53,763,0.1986151005917135
44,0,39,4001,0.12291581816907549
46,0,27,12643,0.20713722766270753
43,0,64,9940,0.1891788398119329
47,1,48,6603,0.24795964921661845
32,0,55,8211,0.2014140772661825
10,0,51,11856,0.051181086098459866
50,0,35,8887,0.18996207939970955
28,0,54,17775,0.07032850640126552
31,0,35,4769,0.1592191183137665
24,0,52,17355,0.08146433949670014
13,0,57,18503,0.14894556206763526
55,0,48,10319,0.2085250983667304
47,0,41,3876,0.10782211420651067
39,0,53,9689,0.08053719417359273
25,0,24,18153,0.11289893392673991
49,0,58,10899,0.08473071131621301
34,0,43,12740,0.08671237632507667
28,0,46,8111,0.18944503623276238
28,0,29,11846,0.1908647443343336
15,2,27,6254,0.1558282598025682
8,0,37,5643,0.10044429764196956
34,0,56,3573,0.15592992221793137
53,0,21,14128,0.23970862496671685
6,0,50,18344,0.12673849169269596
51,1,64,7483,0.13471295653100146
50,1,51,1702,0.14885258147369113
18,0,33,8363,0.08568230942702026
39,0,33,7229,0.0989427151620772
12,0,35,12613,0.18818861886760613
46,1,27,3745,0.08231494697530839
42,0,47,15785,0.17090222050026554
23,0,55,1680,0.1271780372525433
6,0,43,7990,0.11125659664557462
58,2,23,3868,0.15995006495032427
28,0,59,17516,0.09513709245340729
53,0,38,9391,0.11193351762563944
41,2,43,18264,0.15490732080703423
47,2,43,11399,0.1814585474392243
46,0,48,15277,0.21727040028327127
14,0,21,17940,0.21493170090981445
23,0,31,16571,0.14954783660079807
29,2,47,13834,0.06484366781595874
31,0,38,15982,0.08761226759845056
5,0,26,16138,0.05009375236526845
34,2,61,13564,0.08711995006137371
11,0,31,11289,0.05614729608061589
45,1,30,10436,0.19294694903339615
41,0,64,4424,0.1592311068855417
55,1,31,11731,0.05714619539658852
45,0,45,17072,0.17352928188729314
23,0,43,17104,0.21283005641361774
58,1,63,9753,0.05570705740485718
26,0,62,9968,0.07540996501432069
21,0,42,15539,0.14424085728295347
54,0,22,19610,0.058461294576638956
24,0,56,623,0.054255429948935265
7,0,49,14165,0.1664834401155233
29,0,22,9189,0.162515506869428
48,0,27,4998,0.21133029040912749
13,0,33,7108,0.06557990395844576
29,0,58,19881,0.22943875813274578
10,0,33,6295,0.05372649947509405
42,2,60,10316,0.11027221428369763
30,0,24,13659,0.05973418250442813
21,0,43,5649,0.09885230140985729
15,0,62,16578,0.21303394026684547
35,0,49,1912,0.075027795905419
41,0,43,17347,0.09037594554313998
56,0,38,14065,0.17227355571737635
27,0,47,16114,0.05433248962947153
12,0,32,2294,0.17048424691105246
50,2,43,16327,0.22887514090355338
38,0,23,5974,0.06391123466919624
42,1,31,16784,0.05118093634990844
8,1,53,7337,0.13119019867248682
20,1,61,14024,0.2198120611686845
46,0,39,19867,0.2370386336929095
50,0,50,15318,0.2102338447237574
27,2,40,2087,0.1798664173541305
48,0,26,4812,0.13531128163276707
50,0,63,2998,0.2077948736393987
25,0,41,19166,0.20133844861886185
54,1,25,6799,0.08672486024327737
19,0,21,10311,0.1931557672148284
16,0,29,11755,0.20851563633478548
41,0,50,5623,0.2301751856678193
39,0,35,7699,0.19592366899294777
10,0,44,9363,0.19647841761919432
50,1,28,778,0.23032328167144872
14,2,60,16553,0.08885486969372199
48,0,63,18151,0.16000700754209055
3,2,62,14003,0.22869987896921906
48,0,48,9008,0.17632971830953797
47,1,25,3475,0.2362685982956481
47,0,26,6893,0.06008565716234415
40,0,24,9053,0.09279135588329322
29,0,42,4371,0.09426900465263302
43,1,60,15225,0.0657060933389529
18,0,56,9296,0.17454496593069363
47,2,43,14032,0.13029063246929623
34,0,53,10547,0.09849362032664521
29,0,41,4196,0.19554698426445277
31,0,48,13218,0.1852341918460118
35,2,46,14985,0.057843229183607764
5,0,47,8789,0.1379006080579584
10,0,41,13659,0.19404445895207256
16,0,53,19671,0.07067395627207361
9,2,48,5265,0.20899022321878308
28,0,32,17847,0.17321016934242875
41,0,62,6497,0.19362605926733617
40,0,42,1347,0.10008025583050476
29,1,47,8678,0.199540054410211
