age,credit_amount,device_reuse,velocity,geo_mismatch,label
24,12574,2,7,1,2
55,16669,2,8,1,1
49,12983,0,1,1,1
40,12084,0,2,0,0
40,9613,2,0,1,0
58,5274,2,4,0,0
24,5974,2,4,0,0
51,15040,0,0,1,0
29,1861,2,6,0,0
25,2147,0,0,0,0
44,8234,0,7,0,0
63,15601,2,7,0,1
53,13312,3,8,1,2
54,12004,3,1,0,0
52,10915,4,8,0,2
55,2659,4,5,1,2
43,6969,1,8,0,0
26,2050,3,6,1,2
57,15284,0,6,0,1
40,15141,4,0,0,1
43,5532,1,6,1,0
37,6212,3,4,1,0
29,6690,4,8,0,2
61,17841,3,6,0,2
55,10026,4,0,1,0
49,15360,0,8,1,2
38,9252,0,0,1,0
57,14114,3,2,0,0
44,10802,2,2,1,0
40,5932,0,9,0,0
40,17587,3,1,0,0
30,14324,0,8,0,0
25,15502,4,2,0,1
45,18988,0,6,1,1
60,5351,2,0,0,0
23,2285,4,3,1,2
58,11854,2,6,1,0
57,6860,3,7,1,2
33,8997,3,8,1,2
48,5076,4,8,0,2
28,8270,2,5,1,0
54,8168,4,3,0,0
51,7335,2,2,0,0
36,14975,4,9,0,2
23,12056,3,6,1,2
63,9747,0,9,0,0
40,2697,3,4,1,2
60,11629,4,4,0,0
50,3912,0,8,1,2
55,6626,4,7,1,2
54,8590,0,2,1,0
29,3255,4,5,1,2
37,8095,3,2,1,0
41,5705,0,7,1,0
42,17070,3,0,0,0
22,17263,0,8,0,0
45,589,2,9,1,0
27,12247,4,0,0,0
53,12990,1,6,1,0
51,7870,0,0,1,2
61,9647,2,3,1,0
53,15903,1,3,0,0
37,7870,0,5,0,0
63,1756,2,9,1,0
39,7763,1,4,0,0
35,5450,0,3,1,0
60,7963,1,0,0,0
37,4987,0,8,0,0
24,3422,4,3,0,0
41,19714,4,4,0,0
56,3012,1,0,1,0
29,14268,4,2,1,2
41,14492,2,5,0,1
26,12546,4,9,1,2
51,18273,0,3,0,0
41,597,1,5,1,2
35,6381,3,8,1,2
30,4094,1,3,1,2
45,11750,4,2,1,0
50,12893,2,0,1,1
62,18009,2,9,0,1
40,7904,2,1,0,0
28,5100,3,2,1,2
57,18523,0,1,1,0
48,13623,3,7,1,2
51,15412,3,3,1,2
25,9177,4,7,0,2
34,9223,4,6,0,2
54,8086,3,0,1,0
57,15115,2,3,0,0
40,4607,2,0,0,0
56,19520,1,0,1,0
58,3930,4,4,0,0
38,9489,1,2,1,0
60,6634,2,0,1,0
33,13029,0,4,0,0
31,13773,1,4,1,0
51,18413,1,9,1,2
49,15889,2,6,1,0
27,5349,2,3,1,0
57,4529,3,4,0,0
29,17787,2,0,1,2
56,10013,0,3,1,2
21,2402,2,5,0,0
56,16586,0,0,0,0
55,13144,4,9,0,2
55,998,3,5,0,0
50,15765,1,7,0,1
41,12343,1,2,1,2
52,12484,0,8,1,2
33,17366,1,3,1,2
55,10162,0,9,1,0
45,9494,4,5,0,0
41,12538,0,6,0,0
43,4356,3,2,1,0
46,3457,2,9,1,2
22,16953,1,1,1,2
27,4703,4,0,0,0
31,10334,0,4,0,0
26,5763,4,8,1,2
40,4993,3,9,0,2
50,12156,3,8,0,2
49,16146,4,5,0,1
41,9117,2,9,1,2
58,3205,1,4,0,0
45,5267,0,4,1,0
24,3709,4,1,0,0
54,17714,2,7,1,1
46,6730,4,3,0,0
48,7791,1,1,0,0
45,1885,4,3,0,0
45,9197,4,6,0,2
24,18321,1,2,1,2
45,8489,2,3,0,0
55,13199,3,3,1,0
34,4047,1,5,1,0
47,3287,0,7,0,0
22,14766,1,6,0,1
36,1781,2,1,1,2
40,9244,0,3,1,0
64,6675,1,6,1,2
30,817,4,2,1,0
33,10858,0,0,1,0
38,19298,0,3,0,0
64,1848,2,6,1,0
58,16407,0,6,0,1
22,11013,0,1,1,2
31,14609,0,6,0,0
57,2382,0,1,0,0
23,17447,4,7,1,2
58,722,0,5,1,0
33,18182,2,1,1,0
61,13327,3,3,1,0
33,7081,3,8,0,2
40,638,3,4,0,0
50,12413,1,6,1,2
26,2204,4,7,0,2
45,12371,0,0,0,1
43,15576,0,9,1,0
55,5712,4,3,0,0
64,5155,0,7,0,0
50,4828,0,4,1,2
39,4884,0,5,0,0
38,2721,0,3,1,2
39,5369,0,8,0,0
56,13356,2,1,0,1
35,6399,3,8,0,2
28,15727,0,2,1,0
35,16476,4,8,1,2
21,15338,0,0,1,0
25,11020,3,0,0,0
24,6667,4,0,1,0
54,18632,2,5,0,1
52,4502,2,2,1,0
51,9557,0,5,1,2
41,9345,1,8,0,0
52,15038,4,0,0,1
28,11162,1,5,0,0
60,16090,0,7,1,2
43,18422,3,4,1,1
62,8117,3,9,0,2
27,17559,0,6,1,2
42,3808,0,0,1,0
51,18363,0,5,0,0
42,3970,0,3,1,0
40,17080,3,1,0,0
28,8109,0,9,0,0
37,19309,3,2,0,0
31,3019,0,0,0,0
34,9577,4,2,0,0
51,18086,3,8,0,2
48,1425,1,5,0,0
47,5667,2,8,1,2
36,2129,0,4,0,0
63,6764,0,1,1,2
24,8110,2,3,0,0
36,12568,0,1,0,0
26,5524,3,5,1,0
35,3594,1,2,0,0
63,3813,0,9,1,0
37,18798,2,3,1,2
60,19087,2,3,0,1
42,4817,3,9,1,2
51,4310,0,5,0,0
41,1556,2,1,1,0
32,19207,4,4,0,0
54,14269,1,2,0,0
63,15336,4,7,1,2
32,6166,3,5,0,0
55,12998,2,7,1,2
32,1666,4,9,1,2
52,13682,4,7,1,2
55,11803,1,3,0,0
40,6963,4,2,1,2
53,14354,0,5,0,1
32,13105,0,4,0,0
24,9060,0,3,0,0
25,4140,1,8,0,0
40,959,4,9,0,2
60,18785,3,3,0,0
26,5986,3,6,1,2
41,6384,0,9,0,0
51,13780,2,0,0,0
29,5476,1,3,0,0
52,7827,2,7,1,0
34,14367,1,4,1,2
56,12109,1,7,0,1
46,13300,4,4,0,0
45,591,2,0,1,2
28,9300,2,4,1,2
41,9767,0,4,1,2
58,12832,3,8,0,2
21,3453,2,1,0,0
54,3610,1,1,0,0
42,15367,3,1,0,1
52,13629,0,5,1,0
50,16318,2,9,1,2
40,5776,4,6,0,2
34,19953,2,8,1,2
48,5820,0,8,0,0
27,13193,1,6,1,2
46,3662,0,6,0,0
25,18410,2,2,1,2
49,6981,1,9,1,2
48,16148,0,7,0,0
24,6959,3,8,0,2
54,15921,0,9,1,0
39,9356,1,3,1,2
55,1718,4,1,0,0
22,4213,0,8,1,0
28,13827,1,4,0,0
42,4263,1,9,1,0
29,5868,2,6,1,0
35,11063,1,2,0,0
50,5434,4,3,0,0
27,3013,0,6,1,2
50,12673,4,3,1,2
25,13933,2,2,0,1
28,14794,0,2,1,2
46,18906,0,6,1,2
